from,to,meters,highway,surface,incline,sidewalk,maxspeed,name
osm452858744,osm3029042262,21.45,service,,,,,
osm452858744,osm452858741,17.97,service,,,,,
osm452858741,osm452858744,17.97,service,,,,,
osm452858744,osm452858747,70.19,service,,,,,
osm452858747,osm452858744,70.19,service,,,,,
osm1849046425,osm8235901306,13.47,footway,concrete,,,,
osm8235901306,osm1849046425,13.47,footway,concrete,,,,
osm8235901306,osm9518382827,39.5,footway,concrete,,,,
osm9518382827,osm8235901306,39.5,footway,concrete,,,,
osm9518382827,osm8402926330,4.72,footway,concrete,,,,
osm8402926330,osm9518382827,4.72,footway,concrete,,,,
osm8402926330,osm8402926335,19.35,footway,concrete,,,,
osm8402926335,osm8402926330,19.35,footway,concrete,,,,
osm8402926335,osm8402926337,11.19,footway,concrete,,,,
osm8402926337,osm8402926335,11.19,footway,concrete,,,,
osm8402926337,osm8402926378,23.36,footway,concrete,,,,
osm8402926378,osm8402926337,23.36,footway,concrete,,,,
osm8402926378,osm452859762,33.54,footway,concrete,,,,
osm452859762,osm8402926378,33.54,footway,concrete,,,,
osm452859762,osm452859768,58.18,footway,concrete,,,,
osm452859768,osm452859762,58.18,footway,concrete,,,,
osm451759139,osm3035567955,2.95,footway,concrete,,,,
osm3035567955,osm451759139,2.95,footway,concrete,,,,
osm3035567955,osm452861572,10.09,footway,concrete,,,,
osm452861572,osm3035567955,10.09,footway,concrete,,,,
osm452861572,osm452861571,23.74,footway,concrete,,,,
osm452861571,osm452861572,23.74,footway,concrete,,,,
osm452861571,osm9147614954,3.99,footway,concrete,,,,
osm9147614954,osm452861571,3.99,footway,concrete,,,,
osm6223342059,osm6223342052,61.13,footway,concrete,,,,
osm6223342052,osm6223342059,61.13,footway,concrete,,,,
osm6223342052,osm6223342049,12.58,footway,concrete,,,,
osm6223342049,osm6223342052,12.58,footway,concrete,,,,
osm6223342049,osm452863560,42.31,footway,concrete,,,,
osm452863560,osm6223342049,42.31,footway,concrete,,,,
osm452863560,osm3029042254,40.98,footway,concrete,,,,
osm3029042254,osm452863560,40.98,footway,concrete,,,,
osm53431158,osm452864733,36.55,residential,asphalt,,,20 mph,Lake Mendota Drive
osm452864733,osm53431158,36.55,residential,asphalt,,,20 mph,Lake Mendota Drive
osm452864733,osm53431199,192.97,residential,asphalt,,,20 mph,Lake Mendota Drive
osm53431199,osm452864733,192.97,residential,asphalt,,,20 mph,Lake Mendota Drive
osm53431199,osm53431215,49.41,residential,asphalt,,,20 mph,Lake Mendota Drive
osm53431215,osm53431199,49.41,residential,asphalt,,,20 mph,Lake Mendota Drive
osm53431215,osm8787250950,62.3,residential,asphalt,,,20 mph,Lake Mendota Drive
osm8787250950,osm53431215,62.3,residential,asphalt,,,20 mph,Lake Mendota Drive
osm8787250950,osm8787250966,56.79,residential,asphalt,,,20 mph,Lake Mendota Drive
osm8787250966,osm8787250950,56.79,residential,asphalt,,,20 mph,Lake Mendota Drive
osm8787250966,osm3938782448,30.64,residential,asphalt,,,20 mph,Lake Mendota Drive
osm3938782448,osm8787250966,30.64,residential,asphalt,,,20 mph,Lake Mendota Drive
osm452865333,osm10290827352,194.34,footway,grass,,,,
osm10290827352,osm452865333,194.34,footway,grass,,,,
osm3397728926,osm3397728949,86.49,footway,,,,,
osm3397728949,osm3397728926,86.49,footway,,,,,
osm3397728949,osm3397741863,11.01,footway,,,,,
osm3397741863,osm3397728949,11.01,footway,,,,,
osm3397741863,osm3397741885,21.41,footway,,,,,
osm3397741885,osm3397741863,21.41,footway,,,,,
osm3397741885,osm3397742219,273.07,footway,,,,,
osm3397742219,osm3397741885,273.07,footway,,,,,
osm2573781972,osm452865311,636.52,cycleway,asphalt,,,,Blackhawk Path
osm452865311,osm2573781972,636.52,cycleway,asphalt,,,,Blackhawk Path
osm452865311,osm3812257120,14.9,cycleway,asphalt,,,,Blackhawk Path
osm3812257120,osm452865311,14.9,cycleway,asphalt,,,,Blackhawk Path
osm3812257120,osm1234900970,147.9,cycleway,asphalt,,,,Blackhawk Path
osm1234900970,osm3812257120,147.9,cycleway,asphalt,,,,Blackhawk Path
osm1234900970,osm3397728901,101.64,cycleway,asphalt,,,,Blackhawk Path
osm3397728901,osm1234900970,101.64,cycleway,asphalt,,,,Blackhawk Path
osm3397728901,osm1234901000,27.44,cycleway,asphalt,,,,Blackhawk Path
osm1234901000,osm3397728901,27.44,cycleway,asphalt,,,,Blackhawk Path
osm1234901000,osm1234901469,287.05,cycleway,asphalt,,,,Blackhawk Path
osm1234901469,osm1234901000,287.05,cycleway,asphalt,,,,Blackhawk Path
osm1234901469,osm452865421,206.12,cycleway,asphalt,,,,Blackhawk Path
osm452865421,osm1234901469,206.12,cycleway,asphalt,,,,Blackhawk Path
osm452865421,osm2614129295,138.13,cycleway,concrete,,,,
osm2614129295,osm452865421,138.13,cycleway,concrete,,,,
osm2614129295,osm2065636609,120.04,cycleway,concrete,,,,
osm2065636609,osm2614129295,120.04,cycleway,concrete,,,,
osm53667534,osm53623379,90.43,residential,,,,,Merrill Springs Road
osm53623379,osm53667534,90.43,residential,,,,,Merrill Springs Road
osm53623379,osm53667541,94.41,residential,,,,,Merrill Springs Road
osm53667541,osm53623379,94.41,residential,,,,,Merrill Springs Road
osm53667541,osm13241319904,73.41,residential,,,,,Merrill Springs Road
osm13241319904,osm53667541,73.41,residential,,,,,Merrill Springs Road
osm13241319904,osm9004085393,101.58,residential,,,,,Merrill Springs Road
osm9004085393,osm13241319904,101.58,residential,,,,,Merrill Springs Road
osm9004085393,osm2558107979,75.59,residential,,,,,Merrill Springs Road
osm2558107979,osm9004085393,75.59,residential,,,,,Merrill Springs Road
osm2558107979,osm53431309,30.09,residential,,,,,Merrill Springs Road
osm53431309,osm2558107979,30.09,residential,,,,,Merrill Springs Road
osm2614129263,osm2614129262,15.96,footway,,,,,
osm2614129262,osm2614129263,15.96,footway,,,,,
osm2614129262,osm5743270721,147.12,footway,,,,,
osm5743270721,osm2614129262,147.12,footway,,,,,
osm5743270721,osm2614129255,8.47,footway,,,,,
osm2614129255,osm5743270721,8.47,footway,,,,,
osm2614129255,osm3295625219,15.57,footway,,,,,
osm3295625219,osm2614129255,15.57,footway,,,,,
osm3295625219,osm3295625220,8.19,footway,,,,,
osm3295625220,osm3295625219,8.19,footway,,,,,
osm3295625220,osm3938896051,28.87,footway,,,,,
osm3938896051,osm3295625220,28.87,footway,,,,,
osm3938896051,osm10290420602,5.78,footway,,,,,
osm10290420602,osm3938896051,5.78,footway,,,,,
osm10290420602,osm6742896634,5.12,footway,,,,,
osm6742896634,osm10290420602,5.12,footway,,,,,
osm6742896634,osm2614129252,51.25,footway,,,,,
osm2614129252,osm6742896634,51.25,footway,,,,,
osm2614129252,osm1349224286,42.51,footway,,,,,
osm1349224286,osm2614129252,42.51,footway,,,,,
osm53346044,osm3295625108,10.1,residential,asphalt,,,,
osm3295625108,osm53346044,10.1,residential,asphalt,,,,
osm3295625108,osm452865600,9.88,residential,asphalt,,,,
osm452865600,osm3295625108,9.88,residential,asphalt,,,,
osm452865600,osm452865612,34.12,residential,asphalt,,,,
osm452865612,osm452865600,34.12,residential,asphalt,,,,
osm452865612,osm1177715830,7.73,residential,asphalt,,,,
osm1177715830,osm452865612,7.73,residential,asphalt,,,,
osm452865603,osm3295624916,12.36,residential,asphalt,,,,Hilldale Boulevard
osm3295624916,osm452865603,12.36,residential,asphalt,,,,Hilldale Boulevard
osm3295624916,osm9134452588,32.43,residential,asphalt,,,,Hilldale Boulevard
osm9134452588,osm3295624916,32.43,residential,asphalt,,,,Hilldale Boulevard
osm9134452588,osm452865604,7.82,residential,asphalt,,,,Hilldale Boulevard
osm452865604,osm9134452588,7.82,residential,asphalt,,,,Hilldale Boulevard
osm452865604,osm1234901473,26.01,residential,asphalt,,,,Hilldale Boulevard
osm1234901473,osm452865604,26.01,residential,asphalt,,,,Hilldale Boulevard
osm3868738314,osm452865618,128.14,footway,concrete,,,,
osm452865618,osm3868738314,128.14,footway,concrete,,,,
osm452865618,osm1234899789,18.13,footway,concrete,,,,
osm1234899789,osm452865618,18.13,footway,concrete,,,,
osm1234899789,osm1234901445,24.0,footway,concrete,,,,
osm1234901445,osm1234899789,24.0,footway,concrete,,,,
osm5905114032,osm13773703470,15.26,tertiary,asphalt,,,30 mph,West Badger Road
osm13773703470,osm5905114032,15.26,tertiary,asphalt,,,30 mph,West Badger Road
osm13773703470,osm7046729289,6.31,tertiary,asphalt,,,30 mph,West Badger Road
osm7046729289,osm13773703470,6.31,tertiary,asphalt,,,30 mph,West Badger Road
osm7046729289,osm11245138530,45.72,tertiary,asphalt,,,30 mph,West Badger Road
osm11245138530,osm7046729289,45.72,tertiary,asphalt,,,30 mph,West Badger Road
osm11245138530,osm7046729285,11.05,tertiary,asphalt,,,30 mph,West Badger Road
osm7046729285,osm11245138530,11.05,tertiary,asphalt,,,30 mph,West Badger Road
osm7046729285,osm3736831524,25.69,tertiary,asphalt,,,30 mph,West Badger Road
osm3736831524,osm7046729285,25.69,tertiary,asphalt,,,30 mph,West Badger Road
osm3736831524,osm450537809,15.68,tertiary,asphalt,,,30 mph,West Badger Road
osm450537809,osm3736831524,15.68,tertiary,asphalt,,,30 mph,West Badger Road
osm4973813268,osm4376671726,10.06,tertiary,asphalt,,,25 mph,University Avenue
osm4376671726,osm4973813268,10.06,tertiary,asphalt,,,25 mph,University Avenue
osm4376671726,osm3702251396,7.32,tertiary,asphalt,,,25 mph,University Avenue
osm3702251396,osm4376671726,7.32,tertiary,asphalt,,,25 mph,University Avenue
osm3702251396,osm8427759569,1.22,tertiary,asphalt,,,25 mph,University Avenue
osm8427759569,osm3702251396,1.22,tertiary,asphalt,,,25 mph,University Avenue
osm8427759569,osm3702258389,31.61,tertiary,asphalt,,,25 mph,University Avenue
osm3702258389,osm8427759569,31.61,tertiary,asphalt,,,25 mph,University Avenue
osm3702258389,osm10286620095,20.76,tertiary,asphalt,,,25 mph,University Avenue
osm10286620095,osm3702258389,20.76,tertiary,asphalt,,,25 mph,University Avenue
osm10286620095,osm7805542223,23.98,tertiary,asphalt,,,25 mph,University Avenue
osm7805542223,osm10286620095,23.98,tertiary,asphalt,,,25 mph,University Avenue
osm7805542223,osm6387649172,55.48,tertiary,asphalt,,,25 mph,University Avenue
osm6387649172,osm7805542223,55.48,tertiary,asphalt,,,25 mph,University Avenue
osm6387649172,osm6387649174,5.06,tertiary,asphalt,,,25 mph,University Avenue
osm6387649174,osm6387649172,5.06,tertiary,asphalt,,,25 mph,University Avenue
osm6387649174,osm3608310345,24.43,tertiary,asphalt,,,25 mph,University Avenue
osm3608310345,osm6387649174,24.43,tertiary,asphalt,,,25 mph,University Avenue
osm454652148,osm316375116,84.9,tertiary,asphalt,,,35 mph,West Broadway
osm316375116,osm6744492231,77.56,tertiary,asphalt,,,35 mph,West Broadway
osm6744492231,osm4137582527,65.05,tertiary,asphalt,,,35 mph,West Broadway
osm4137582527,osm12803473207,109.17,tertiary,asphalt,,,35 mph,West Broadway
osm454651567,osm454651825,44.24,tertiary,concrete,,,35 mph,West Broadway
osm1222780866,osm3209354188,142.63,tertiary,asphalt,,no,35 mph,West Broadway
osm3209354188,osm12801880995,20.51,tertiary,asphalt,,no,35 mph,West Broadway
osm12801880995,osm450880474,58.55,tertiary,asphalt,,no,35 mph,West Broadway
osm454651512,osm454651856,43.58,tertiary,concrete,,,35 mph,West Broadway
osm455858846,osm455858851,100.13,footway,,,,,
osm455858851,osm455858846,100.13,footway,,,,,
osm455858851,osm455858852,3.35,footway,,,,,
osm455858852,osm455858851,3.35,footway,,,,,
osm9255110930,osm9255110927,30.61,footway,concrete,,,,
osm9255110927,osm9255110930,30.61,footway,concrete,,,,
osm1215684880,osm450880361,96.44,tertiary_link,,,,,
osm3330083549,osm3330083547,39.94,residential,asphalt,,,,Royal Avenue
osm53640720,osm53640863,70.27,primary,concrete,,no,30 mph,Pennsylvania Avenue
osm456681765,osm11165603610,2.6,tertiary,asphalt,,,30 mph,Fordem Avenue
osm11165603610,osm2384881652,9.61,tertiary,asphalt,,,30 mph,Fordem Avenue
osm2384881652,osm456681760,10.07,tertiary,asphalt,,,30 mph,Fordem Avenue
osm11954130181,osm11490328749,36.06,footway,concrete,,,,
osm11490328749,osm11954130181,36.06,footway,concrete,,,,
osm11490328749,osm461488653,3.25,footway,concrete,,,,
osm461488653,osm11490328749,3.25,footway,concrete,,,,
osm11954130196,osm461488654,35.24,footway,concrete,,,,
osm461488654,osm11954130196,35.24,footway,concrete,,,,
osm461488654,osm1752697680,7.16,footway,concrete,,,,
osm1752697680,osm461488654,7.16,footway,concrete,,,,
osm1752697680,osm1857660715,6.33,footway,concrete,,,,
osm1857660715,osm1752697680,6.33,footway,concrete,,,,
osm11954130188,osm461488658,34.86,footway,concrete,,,,
osm461488658,osm11954130188,34.86,footway,concrete,,,,
osm461488658,osm1752697681,8.5,footway,concrete,,,,
osm1752697681,osm461488658,8.5,footway,concrete,,,,
osm1752697681,osm1857660807,5.77,footway,concrete,,,,
osm1857660807,osm1752697681,5.77,footway,concrete,,,,
osm461488658,osm1173045703,32.38,footway,concrete,,,,
osm1173045703,osm461488658,32.38,footway,concrete,,,,
osm1173045703,osm1173045696,12.19,footway,concrete,,,,
osm1173045696,osm1173045703,12.19,footway,concrete,,,,
osm1173045696,osm11046649236,33.15,footway,concrete,,,,
osm11046649236,osm1173045696,33.15,footway,concrete,,,,
osm11046649236,osm461488659,2.38,footway,concrete,,,,
osm461488659,osm11046649236,2.38,footway,concrete,,,,
osm12879841059,osm461488663,10.77,footway,concrete,,,,
osm461488663,osm12879841059,10.77,footway,concrete,,,,
osm461488663,osm9432286544,42.69,footway,concrete,,,,
osm9432286544,osm461488663,42.69,footway,concrete,,,,
osm9432286544,osm2994560915,31.55,footway,concrete,,,,
osm2994560915,osm9432286544,31.55,footway,concrete,,,,
osm2994560915,osm12704124525,18.91,footway,concrete,,,,
osm12704124525,osm2994560915,18.91,footway,concrete,,,,
osm12704124525,osm461488664,14.81,footway,concrete,,,,
osm461488664,osm12704124525,14.81,footway,concrete,,,,
osm461488664,osm2994560898,24.76,footway,concrete,,,,
osm2994560898,osm461488664,24.76,footway,concrete,,,,
osm2994560898,osm461488665,3.57,footway,concrete,,,,
osm461488665,osm2994560898,3.57,footway,concrete,,,,
osm12879841062,osm13253431540,5.43,footway,concrete,,,,
osm13253431540,osm12879841062,5.43,footway,concrete,,,,
osm13253431540,osm12740238387,15.88,footway,concrete,,,,
osm12740238387,osm13253431540,15.88,footway,concrete,,,,
osm12740238387,osm469603328,22.69,footway,concrete,,,,
osm469603328,osm12740238387,22.69,footway,concrete,,,,
osm469603328,osm12739499028,9.17,footway,concrete,,,,
osm12739499028,osm469603328,9.17,footway,concrete,,,,
osm12739499028,osm469603288,4.07,footway,concrete,,,,
osm469603288,osm12739499028,4.07,footway,concrete,,,,
osm469603288,osm13264129237,3.61,footway,concrete,,,,
osm13264129237,osm469603288,3.61,footway,concrete,,,,
osm13264129237,osm2993433340,19.33,footway,concrete,,,,
osm2993433340,osm13264129237,19.33,footway,concrete,,,,
osm2993433340,osm8419434816,22.57,footway,concrete,,,,
osm8419434816,osm2993433340,22.57,footway,concrete,,,,
osm8419434816,osm2993430878,22.46,footway,concrete,,,,
osm2993430878,osm8419434816,22.46,footway,concrete,,,,
osm2993430878,osm2993430863,8.81,footway,concrete,,,,
osm2993430863,osm2993430878,8.81,footway,concrete,,,,
osm2993430863,osm461489723,14.46,footway,concrete,,,,
osm461489723,osm2993430863,14.46,footway,concrete,,,,
osm1188556245,osm1188556243,5.66,footway,concrete,,,,
osm1188556243,osm1188556245,5.66,footway,concrete,,,,
osm1188556243,osm13245087589,2.05,footway,concrete,,,,
osm13245087589,osm1188556243,2.05,footway,concrete,,,,
osm13245087589,osm1188556202,2.31,footway,concrete,,,,
osm1188556202,osm13245087589,2.31,footway,concrete,,,,
osm1188556202,osm1188556252,3.58,footway,concrete,,,,
osm1188556252,osm1188556202,3.58,footway,concrete,,,,
osm1188556252,osm13245087588,1.51,footway,concrete,,,,
osm13245087588,osm1188556252,1.51,footway,concrete,,,,
osm13245087588,osm2993394868,5.3,footway,concrete,,,,
osm2993394868,osm13245087588,5.3,footway,concrete,,,,
osm2993394868,osm1188556280,36.47,footway,concrete,,,,
osm1188556280,osm2993394868,36.47,footway,concrete,,,,
osm1188556280,osm12915614095,0.55,footway,concrete,,,,
osm12915614095,osm1188556280,0.55,footway,concrete,,,,
osm12683550360,osm12683550362,5.25,steps,concrete,up,,,
osm12683550362,osm12683550360,5.25,steps,concrete,up,,,
osm461489727,osm461489734,68.92,footway,concrete,,,,
osm461489734,osm461489727,68.92,footway,concrete,,,,
osm461489740,osm1850595991,7.09,footway,concrete,,,,Lincoln Drive
osm1850595991,osm461489740,7.09,footway,concrete,,,,Lincoln Drive
osm1850595991,osm461489739,18.92,footway,concrete,,,,Lincoln Drive
osm461489739,osm1850595991,18.92,footway,concrete,,,,Lincoln Drive
osm461489739,osm9606230847,4.02,footway,concrete,,,,Lincoln Drive
osm9606230847,osm461489739,4.02,footway,concrete,,,,Lincoln Drive
osm9606230847,osm1850595933,13.39,footway,concrete,,,,Lincoln Drive
osm1850595933,osm9606230847,13.39,footway,concrete,,,,Lincoln Drive
osm1850595933,osm5444350122,8.42,footway,concrete,,,,Lincoln Drive
osm5444350122,osm1850595933,8.42,footway,concrete,,,,Lincoln Drive
osm5444350122,osm1850595850,9.36,footway,concrete,,,,Lincoln Drive
osm1850595850,osm5444350122,9.36,footway,concrete,,,,Lincoln Drive
osm1850595850,osm11954130209,12.67,footway,concrete,,,,Lincoln Drive
osm11954130209,osm1850595850,12.67,footway,concrete,,,,Lincoln Drive
osm11954130209,osm461492083,3.17,footway,concrete,,,,Lincoln Drive
osm461492083,osm11954130209,3.17,footway,concrete,,,,Lincoln Drive
osm461492083,osm461489742,20.07,footway,concrete,,,,Lincoln Drive
osm461489742,osm461492083,20.07,footway,concrete,,,,Lincoln Drive
osm461489742,osm469603313,24.96,footway,concrete,,,,Lincoln Drive
osm469603313,osm461489742,24.96,footway,concrete,,,,Lincoln Drive
osm469603313,osm2995292739,4.53,footway,concrete,,,,Lincoln Drive
osm2995292739,osm469603313,4.53,footway,concrete,,,,Lincoln Drive
osm2995292739,osm2995292738,3.95,footway,concrete,,,,Lincoln Drive
osm2995292738,osm2995292739,3.95,footway,concrete,,,,Lincoln Drive
osm2995292738,osm469603314,4.86,footway,concrete,,,,Lincoln Drive
osm469603314,osm2995292738,4.86,footway,concrete,,,,Lincoln Drive
osm469603314,osm2995292531,32.13,footway,concrete,,,,Lincoln Drive
osm2995292531,osm469603314,32.13,footway,concrete,,,,Lincoln Drive
osm2995292531,osm2995292530,5.5,footway,concrete,,,,Lincoln Drive
osm2995292530,osm2995292531,5.5,footway,concrete,,,,Lincoln Drive
osm12749281074,osm12749281073,4.32,footway,concrete,down,,,
osm12749281073,osm12749281074,4.32,footway,concrete,down,,,
osm461489748,osm12749368513,3.31,footway,concrete,,,,
osm12749368513,osm461489748,3.31,footway,concrete,,,,
osm12749368513,osm12750228772,15.86,footway,concrete,,,,
osm12750228772,osm12749368513,15.86,footway,concrete,,,,
osm12750228772,osm469598224,1.38,footway,concrete,,,,
osm469598224,osm12750228772,1.38,footway,concrete,,,,
osm469598224,osm3101265035,1.83,footway,concrete,,,,
osm3101265035,osm469598224,1.83,footway,concrete,,,,
osm3101265035,osm3101265030,8.11,footway,concrete,,,,
osm3101265030,osm3101265035,8.11,footway,concrete,,,,
osm3101265030,osm3101265032,24.33,footway,concrete,,,,
osm3101265032,osm3101265030,24.33,footway,concrete,,,,
osm3101265032,osm469598226,34.9,footway,concrete,,,,
osm469598226,osm3101265032,34.9,footway,concrete,,,,
osm469598226,osm13120445819,10.72,footway,concrete,,,,
osm13120445819,osm469598226,10.72,footway,concrete,,,,
osm13120445819,osm13111066725,31.59,footway,concrete,,,,
osm13111066725,osm13120445819,31.59,footway,concrete,,,,
osm13111066725,osm469598234,58.05,footway,concrete,,,,
osm469598234,osm13111066725,58.05,footway,concrete,,,,
osm469598234,osm469603330,42.23,footway,concrete,,,,
osm469603330,osm469598234,42.23,footway,concrete,,,,
osm469603330,osm469603332,6.78,footway,concrete,,,,
osm469603332,osm469603330,6.78,footway,concrete,,,,
osm469603332,osm2995292448,14.39,footway,concrete,,,,
osm2995292448,osm469603332,14.39,footway,concrete,,,,
osm2995292448,osm469603334,38.81,footway,concrete,,,,
osm469603334,osm2995292448,38.81,footway,concrete,,,,
osm469603334,osm3607816642,41.37,footway,concrete,,,,
osm3607816642,osm469603334,41.37,footway,concrete,,,,
osm3607816642,osm469603397,18.24,footway,concrete,,,,
osm469603397,osm3607816642,18.24,footway,concrete,,,,
osm469603397,osm3100613756,72.31,footway,concrete,,,,
osm3100613756,osm469603397,72.31,footway,concrete,,,,
osm3100613756,osm469598238,11.47,footway,concrete,,,,
osm469598238,osm3100613756,11.47,footway,concrete,,,,
osm469598238,osm1857568154,43.39,footway,concrete,,,,
osm1857568154,osm469598238,43.39,footway,concrete,,,,
osm1857568154,osm1887360625,8.69,footway,concrete,,,,
osm1887360625,osm1857568154,8.69,footway,concrete,,,,
osm1887360625,osm2993430856,37.55,footway,concrete,,,,
osm2993430856,osm1887360625,37.55,footway,concrete,,,,
osm2993430856,osm1857707071,56.02,footway,concrete,,,,
osm1857707071,osm2993430856,56.02,footway,concrete,,,,
osm1857707071,osm469598242,12.31,footway,concrete,,,,
osm469598242,osm1857707071,12.31,footway,concrete,,,,
osm469598242,osm461489723,17.7,footway,concrete,,,,
osm461489723,osm469598242,17.7,footway,concrete,,,,
osm461489749,osm2993377965,2.66,footway,concrete,,,,
osm2993377965,osm461489749,2.66,footway,concrete,,,,
osm2993377965,osm5479031560,81.11,footway,concrete,,,,
osm5479031560,osm2993377965,81.11,footway,concrete,,,,
osm5479031560,osm463123872,7.62,footway,concrete,,,,
osm463123872,osm5479031560,7.62,footway,concrete,,,,
osm463123872,osm461489751,16.94,footway,concrete,,,,
osm461489751,osm463123872,16.94,footway,concrete,,,,
osm461489751,osm461489752,82.33,footway,concrete,,,,
osm461489752,osm461489751,82.33,footway,concrete,,,,
osm461489752,osm2708071988,80.32,footway,concrete,,,,
osm2708071988,osm461489752,80.32,footway,concrete,,,,
osm2708071988,osm1997867163,33.86,footway,concrete,,,,
osm1997867163,osm2708071988,33.86,footway,concrete,,,,
osm1997867163,osm461499174,12.31,footway,concrete,,,,
osm461499174,osm1997867163,12.31,footway,concrete,,,,
osm461499174,osm461499176,8.43,footway,concrete,,,,
osm461499176,osm461499174,8.43,footway,concrete,,,,
osm461499176,osm1997867164,12.42,footway,concrete,,,,
osm1997867164,osm461499176,12.42,footway,concrete,,,,
osm1997867164,osm463123580,12.5,footway,concrete,,,,
osm463123580,osm1997867164,12.5,footway,concrete,,,,
osm463123580,osm2708071954,59.86,footway,concrete,,,,
osm2708071954,osm463123580,59.86,footway,concrete,,,,
osm2708071954,osm4139798336,29.14,footway,concrete,,,,
osm4139798336,osm2708071954,29.14,footway,concrete,,,,
osm4139798336,osm463123577,26.95,footway,concrete,,,,
osm463123577,osm4139798336,26.95,footway,concrete,,,,
osm463123577,osm445924418,44.23,footway,concrete,,,,
osm445924418,osm463123577,44.23,footway,concrete,,,,
osm2993433427,osm461492081,7.8,footway,,,,,
osm461492081,osm2993433427,7.8,footway,,,,,
osm461492081,osm12739395031,5.47,footway,,,,,
osm12739395031,osm461492081,5.47,footway,,,,,
osm12739395031,osm3100613780,11.53,footway,,,,,
osm3100613780,osm12739395031,11.53,footway,,,,,
osm3100613780,osm3100613778,21.46,footway,,,,,
osm3100613778,osm3100613780,21.46,footway,,,,,
osm3100613778,osm461492090,19.4,footway,,,,,
osm461492090,osm3100613778,19.4,footway,,,,,
osm461492090,osm12743769537,37.82,footway,,,,,
osm12743769537,osm461492090,37.82,footway,,,,,
osm12743769537,osm461492082,15.33,footway,,,,,
osm461492082,osm12743769537,15.33,footway,,,,,
osm461492082,osm469603316,47.12,footway,,,,,
osm469603316,osm461492082,47.12,footway,,,,,
osm469603316,osm461492084,15.94,footway,,,,,
osm461492084,osm469603316,15.94,footway,,,,,
osm461492084,osm1752049548,4.33,footway,,,,,
osm1752049548,osm461492084,4.33,footway,,,,,
osm1752049548,osm1850595969,24.17,footway,,,,,
osm1850595969,osm1752049548,24.17,footway,,,,,
osm1850595969,osm461492083,30.1,footway,,,,,
osm461492083,osm1850595969,30.1,footway,,,,,
osm461492082,osm461492085,51.62,footway,,,,,
osm461492085,osm461492082,51.62,footway,,,,,
osm461492085,osm12752880724,2.72,footway,,,,,
osm12752880724,osm461492085,2.72,footway,,,,,
osm12752880724,osm2993394839,15.92,footway,,,,,
osm2993394839,osm12752880724,15.92,footway,,,,,
osm461492084,osm461489737,51.69,footway,,,,,
osm461489737,osm461492084,51.69,footway,,,,,
osm461489737,osm1188559458,51.29,footway,,,,,
osm1188559458,osm461489737,51.29,footway,,,,,
osm1188559458,osm1188559459,11.52,footway,,,,,
osm1188559459,osm1188559458,11.52,footway,,,,,
osm469603328,osm1857707092,34.82,footway,,,,,
osm1857707092,osm469603328,34.82,footway,,,,,
osm1857707092,osm5491761086,14.17,footway,,,,,
osm5491761086,osm1857707092,14.17,footway,,,,,
osm461499173,osm2993377978,5.58,footway,concrete,,,,
osm2993377978,osm461499173,5.58,footway,concrete,,,,
osm461499175,osm2993377977,5.7,footway,concrete,,,,
osm2993377977,osm461499175,5.7,footway,concrete,,,,
osm53486814,osm3033934078,8.9,tertiary,asphalt,,,20 mph,Babcock Drive
osm3033934078,osm53486814,8.9,tertiary,asphalt,,,20 mph,Babcock Drive
osm3033934078,osm2987142642,125.12,tertiary,asphalt,,,20 mph,Babcock Drive
osm2987142642,osm3033934078,125.12,tertiary,asphalt,,,20 mph,Babcock Drive
osm2987142642,osm53413603,8.17,tertiary,asphalt,,,20 mph,Babcock Drive
osm53413603,osm2987142642,8.17,tertiary,asphalt,,,20 mph,Babcock Drive
osm461502438,osm1997867161,6.05,service,,,,,
osm1997867161,osm461502438,6.05,service,,,,,
osm1997867161,osm2708071956,23.12,service,,,,,
osm2708071956,osm1997867161,23.12,service,,,,,
osm2708071956,osm461502444,70.08,service,,,,,
osm461502444,osm2708071956,70.08,service,,,,,
osm463123560,osm4139798332,67.36,footway,concrete,,,,
osm4139798332,osm463123560,67.36,footway,concrete,,,,
osm4139798332,osm463123577,6.12,footway,concrete,,,,
osm463123577,osm4139798332,6.12,footway,concrete,,,,
osm445924423,osm1859403293,36.01,footway,concrete,,,,
osm1859403293,osm445924423,36.01,footway,concrete,,,,
osm1859403293,osm463123669,17.68,footway,concrete,,,,
osm463123669,osm1859403293,17.68,footway,concrete,,,,
osm4055591506,osm4055616191,56.49,footway,,,,,
osm4055616191,osm4055591506,56.49,footway,,,,,
osm4055616191,osm463123712,3.91,footway,,,,,
osm463123712,osm4055616191,3.91,footway,,,,,
osm463123712,osm463123740,2.57,steps,,,,,
osm463123740,osm463123712,2.57,steps,,,,,
osm463123720,osm2993379342,30.68,footway,,,,,
osm2993379342,osm463123720,30.68,footway,,,,,
osm463123733,osm2993379342,11.5,footway,,,,,
osm2993379342,osm463123733,11.5,footway,,,,,
osm2993379342,osm463123751,18.32,footway,,,,,
osm463123751,osm2993379342,18.32,footway,,,,,
osm463123751,osm4055591510,18.17,footway,,,,,
osm4055591510,osm463123751,18.17,footway,,,,,
osm463123763,osm4055591510,21.8,footway,concrete,,,,
osm4055591510,osm463123763,21.8,footway,concrete,,,,
osm4055591510,osm461499175,48.36,footway,concrete,,,,
osm461499175,osm4055591510,48.36,footway,concrete,,,,
osm461499175,osm4527217260,2.16,footway,concrete,,,,
