from,to,meters,highway,surface,incline,sidewalk,maxspeed,name
osm3938981481,osm3939019231,16.78,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939019231,osm3938981481,16.78,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939019231,osm3939019239,34.09,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939019239,osm3939019231,34.09,residential,asphalt,,,20 mph,Blackhawk Drive
osm3939019239,osm53280048,19.29,residential,asphalt,,,20 mph,Blackhawk Drive
osm53280048,osm3939019239,19.29,residential,asphalt,,,20 mph,Blackhawk Drive
osm53280048,osm3938981456,8.84,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938981456,osm53280048,8.84,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938981456,osm3938981454,14.88,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938981454,osm3938981456,14.88,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938981454,osm3938981430,26.42,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938981430,osm3938981454,26.42,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938981430,osm3938981440,19.78,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938981440,osm3938981430,19.78,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938981440,osm3938403859,14.66,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938403859,osm3938981440,14.66,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938403859,osm3702207635,7.2,residential,asphalt,,,20 mph,Blackhawk Drive
osm3702207635,osm3938403859,7.2,residential,asphalt,,,20 mph,Blackhawk Drive
osm3702207635,osm3938253601,22.97,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938253601,osm3702207635,22.97,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938253601,osm53280058,18.55,residential,asphalt,,,20 mph,Blackhawk Drive
osm53280058,osm3938253601,18.55,residential,asphalt,,,20 mph,Blackhawk Drive
osm53280058,osm53280062,7.56,residential,asphalt,,,20 mph,Blackhawk Drive
osm53280062,osm53280058,7.56,residential,asphalt,,,20 mph,Blackhawk Drive
osm53280062,osm3938398537,23.43,residential,asphalt,,,20 mph,Blackhawk Drive
osm3938398537,osm53280062,23.43,residential,asphalt,,,20 mph,Blackhawk Drive
